run,tag,step,value
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,5,0.5968267321586609
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,6,0.605871856212616
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,7,0.5631220936775208
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,8,0.36756402254104614
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,9,0.33872684836387634
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,10,1.7922871112823486
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,11,7.124195575714111
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,12,9.100116729736328
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,13,0.7035855650901794
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,14,6.268274784088135
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,15,7.970231056213379
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,16,6.535694599151611
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,17,8.872803688049316
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,18,7.402297496795654
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,19,8.943001747131348
class_intro_fed_avg_freq_0.05_10_2022-07-30,Loss,20,11.038068771362305
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,1,0.8357142806053162
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,2,0.9150510430335999
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,3,0.9510204195976257
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,4,0.9596938490867615
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,5,0.9640306234359741
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,6,0.9622448682785034
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,7,0.9706632494926453
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,8,0.9711734652519226
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,9,0.9801020622253418
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,10,0.8515306115150452
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,11,0.858418345451355
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,12,0.8594387769699097
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,13,0.9137755036354065
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,14,0.8602041006088257
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,15,0.8581632375717163
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,16,0.8581632375717163
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,17,0.8596938848495483
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,18,0.9584183692932129
